[0.38, 0.30000000000000004, -0.9, -0.6199999999999999][True, True, False, False]10
[0.2, 0.34, -0.86, -0.74][False, True, False, False]7
[0.25999999999999995, 0.36000000000000004, -0.9, -0.6199999999999999][False, True, False, False]7
[0.32, 0.34, -0.9, -0.6199999999999999][True, True, False, False]10
[0.3, 0.38, -0.9, -0.5800000000000001][True, True, False, True]17
[0.36000000000000004, 0.38, -0.9, -0.62][True, True, False, False]10
[0.31999999999999995, 0.34, -0.9, -0.74][True, True, False, False]10
[0.26, 0.4, -0.9, -0.45999999999999996][False, True, False, True]14
[0.36, 0.36, -0.9, -0.78][True, True, False, False]10
[0.34, 0.42000000000000004, -0.9, -0.7799999999999999][True, True, False, False]10
[0.21999999999999997, 0.28, -0.86, -0.6199999999999999][False, False, False, False]0
[0.33999999999999997, 0.38, -0.9, -0.58][True, True, False, True]17
[0.24, 0.36, -0.9, -0.6199999999999999][False, True, False, False]7
[0.27999999999999997, 0.36, -0.8600000000000001, -0.7][False, True, False, False]7
[0.22000000000000003, 0.36000000000000004, -0.9, -0.6199999999999999][False, True, False, False]7
[0.24000000000000005, 0.36, -0.9, -0.7][False, True, False, False]7
[0.38, 0.4, -0.78, -0.7][True, True, True, False]13
[0.26, 0.32, -0.86, -0.7][False, True, False, False]7
[0.34, 0.36000000000000004, -0.78, -0.5399999999999999][True, True, True, True]20
[0.24, 0.36, -0.9, -0.7][False, True, False, False]7
[0.21999999999999997, 0.36, -0.82, -0.54][False, True, True, True]17
[0.38000000000000006, 0.36000000000000004, -0.9, -0.6199999999999999][True, True, False, False]10
[0.28, 0.3, -0.9, -0.58][False, True, False, True]14
[0.26, 0.39999999999999997, -0.9, -0.62][False, True, False, False]7
[0.25999999999999995, 0.3, -0.9, -0.74][False, True, False, False]7
[0.32, 0.38, -0.9, -0.5][True, True, False, True]17
[0.32, 0.34, -0.86, -0.45999999999999996][True, True, False, True]17
[0.4, 0.32, -0.9, -0.58][True, True, False, True]17
[0.16, 0.42000000000000004, -0.9, -0.7][False, True, False, False]7
[0.33999999999999997, 0.36, -0.86, -0.6599999999999999][True, True, False, False]10
[0.30000000000000004, 0.4, -0.9, -0.6599999999999999][True, True, False, False]10
[0.30000000000000004, 0.38, -0.9, -0.6199999999999999][True, True, False, False]10
[0.31999999999999995, 0.4, -0.9, -0.5][True, True, False, True]17
[0.32, 0.34, -0.9, -0.54][True, True, False, True]17
[0.36, 0.32, -0.9, -0.6599999999999999][True, True, False, False]10
[0.33999999999999997, 0.32, -0.9, -0.42000000000000004][True, True, False, True]17
[0.4, 0.34, -0.9, -0.74][True, True, False, False]10
[0.4, 0.42000000000000004, -0.9, -0.54][True, True, False, True]17
[0.3, 0.33999999999999997, -0.9, -0.5800000000000001][True, True, False, True]17
[0.33999999999999997, 0.36, -0.78, -0.78][True, True, True, False]13
[0.28, 0.27999999999999997, -0.9, -0.8200000000000001][False, False, False, False]0
[0.38, 0.33999999999999997, -0.78, -0.74][True, True, True, False]13
[0.31999999999999995, 0.26000000000000006, -0.9, -0.6599999999999999][True, False, False, False]3
[0.26, 0.38, -0.8200000000000001, -0.7][False, True, True, False]10
[0.32, 0.32, -0.9, -0.6599999999999999][True, True, False, False]10
[0.32, 0.38, -0.9, -0.6599999999999999][True, True, False, False]10
[0.42000000000000004, 0.34, -0.78, -0.5][True, True, True, True]20
[0.38, 0.38, -0.9, -0.66][True, True, False, False]10
[0.44000000000000006, 0.28, -0.9, -0.62][True, False, False, False]3
[0.28, 0.4, -0.9, -0.6599999999999999][False, True, False, False]7
[0.25999999999999995, 0.28, -0.9, -0.5][False, False, False, True]7
[0.32, 0.31999999999999995, -0.9, -0.8200000000000001][True, True, False, False]10
[0.36, 0.36, -0.9, -0.5800000000000001][True, True, False, True]17
[0.4, 0.38, -0.82, -0.58][True, True, True, True]20
[0.3, 0.32, -0.9, -0.6599999999999999][True, True, False, False]10
[0.36, 0.33999999999999997, -0.9, -0.78][True, True, False, False]10
[0.34, 0.3, -0.9, -0.74][True, True, False, False]10
[0.38, 0.34, -0.9, -0.74][True, True, False, False]10
[0.32, 0.26, -0.9, -0.6599999999999999][True, False, False, False]3
